id,name,welfare_mean,salary_mean,ft_salary_mean,ft_salary_med,pt_fe_ratio,oa_num,oa_ratio
3376,新日興,631.00 ,551.00 ,575.00 ,388.00 ,0.02 ,22,0.01 
3380,明泰,1052.00 ,893.00 ,902.00 ,825.00 ,0.24 ,0,0.00 
3406,玉晶光,1194.00 ,1032.00 ,879.00 ,717.00 ,0.09 ,43,0.00 
3413,京鼎,1456.00 ,1297.00 ,1249.00 ,1093.00 ,0.00 ,0,0.00 
3416,融程電,935.00 ,789.00 ,727.00 ,593.00 ,0.24 ,3,0.01 
3419,譁裕,1102.00 ,946.00 ,826.00 ,722.00 ,0.21 ,0,0.00 
3432,台端,1497.00 ,1296.00 ,822.00 ,651.00 ,0.50 ,0,0.00 
3437,榮創,809.00 ,656.00 ,662.00 ,569.00 ,0.29 ,6,0.01 
3443,創意,3191.00 ,2919.00 ,2237.00 ,1856.00 ,0.00 ,0,0.00 
3450,聯鈞,815.00 ,599.00 ,648.00 ,575.00 ,0.30 ,6,0.01 
3454,晶睿,1114.00 ,960.00 ,909.00 ,721.00 ,0.29 ,2,0.00 
3481,群創,1312.00 ,1158.00 ,1122.00 ,747.00 ,0.13 ,30,0.00 
3494,誠研,848.00 ,709.00 ,610.00 ,476.00 ,0.22 ,0,0.00 
3501,維熹,723.00 ,608.00 ,564.00 ,475.00 ,0.51 ,0,0.00 
3504,揚明光,899.00 ,766.00 ,739.00 ,622.00 ,0.18 ,12,0.01 
3515,華擎,2928.00 ,2703.00 ,2277.00 ,1937.00 ,0.38 ,0,0.00 
3518,柏騰,1395.00 ,1239.00 ,868.00 ,819.00 ,0.20 ,1,0.02 
3528,安馳,1847.00 ,1644.00 ,1116.00 ,1029.00 ,0.33 ,0,0.00 
3530,晶相光,3592.00 ,3356.00 ,1539.00 ,1172.00 ,0.14 ,0,0.00 
3532,台勝科,1378.00 ,1209.00 ,1257.00 ,1198.00 ,0.05 ,0,0.00 
3533,嘉澤,2316.00 ,2067.00 ,1437.00 ,1185.00 ,0.24 ,0,0.00 
3535,晶彩科,1011.00 ,851.00 ,855.00 ,750.00 ,0.03 ,3,0.01 
3543,州巧,887.00 ,752.00 ,675.00 ,566.00 ,0.06 ,13,0.03 
3545,敦泰,3248.00 ,2987.00 ,2679.00 ,1963.00 ,0.03 ,0,0.00 
3550,聯穎,1104.00 ,937.00 ,813.00 ,745.00 ,0.32 ,0,0.00 
3557,嘉威,2309.00 ,2084.00 ,1177.00 ,885.00 ,0.30 ,0,0.00 
3563,牧德,1394.00 ,1183.00 ,1157.00 ,943.00 ,0.04 ,0,0.00 
3576,聯合再生,884.00 ,708.00 ,665.00 ,450.00 ,0.24 ,17,0.01 
3583,辛耘,1069.00 ,919.00 ,884.00 ,749.00 ,0.22 ,3,0.01 
3588,通嘉,2352.00 ,2144.00 ,1715.00 ,1526.00 ,0.18 ,0,0.00 
3591,艾笛森,939.00 ,783.00 ,634.00 ,505.00 ,0.34 ,1,0.01 
3592,瑞鼎,6466.00 ,6119.00 ,N/A,N/A,0.08 ,0,0.00 
3593,力銘,975.00 ,803.00 ,653.00 ,643.00 ,0.05 ,0,0.00 
3596,智易,2212.00 ,1975.00 ,1805.00 ,1598.00 ,0.19 ,0,0.00 
3605,宏致,971.00 ,769.00 ,823.00 ,634.00 ,0.37 ,4,0.01 
3607,谷崧,714.00 ,560.00 ,611.00 ,545.00 ,0.09 ,0,0.00 
