id,name,d_seats,id_seats,fe_d_seats,fe_d_ratio,da_rate,dfe_ratio
5225,東科-KY,7.00 ,4.00 ,0.00 ,0,1,1
5234,達興材料,9.00 ,3.00 ,0.00 ,0,0.97,1
5243,乙盛-KY,7.00 ,3.00 ,0.00 ,0,0.94,1
5244,弘凱,9.00 ,4.00 ,0.00 ,0,0.97,0.89
5258,虹堡,7.00 ,3.00 ,0.00 ,0,0.93,1
5269,祥碩,7.00 ,3.00 ,0.00 ,0,0.94,1
5283,禾聯碩,9.00 ,3.00 ,0.00 ,0,1,1
5284,jpp-KY,7.00 ,3.00 ,1.00 ,0.14,1,1
5285,界霖,7.00 ,3.00 ,0.00 ,0,1,1
5288,豐祥-KY,7.00 ,3.00 ,1.00 ,0.14,1,1
5306,桂盟,7.00 ,3.00 ,1.00 ,0.14,1,1
5388,中磊,7.00 ,3.00 ,1.00 ,0.14,0.98,1
5434,崇越,9.00 ,3.00 ,2.00 ,0.22,1,0.56
5469,瀚宇博,11.00 ,3.00 ,1.00 ,0.09,0.99,1
5471,松翰,9.00 ,3.00 ,0.00 ,0,0.98,0.33
5484,慧友,7.00 ,3.00 ,1.00 ,0.14,0.98,0.86
5515,建國,13.00 ,3.00 ,0.00 ,0,0.97,1
5519,隆大,7.00 ,3.00 ,0.00 ,0,0.91,1
5521,工信,6.00 ,2.00 ,1.00 ,0.17,0.97,1
5522,遠雄,7.00 ,3.00 ,1.00 ,0.14,0.82,0.86
5525,順天,13.00 ,3.00 ,1.00 ,0.08,0.9,0.92
5531,鄉林,7.00 ,3.00 ,2.00 ,0.29,0.96,1
5533,皇鼎,9.00 ,3.00 ,2.00 ,0.22,1,0.33
5534,長虹,9.00 ,3.00 ,2.00 ,0.22,0.89,0
5538,東明-KY,7.00 ,3.00 ,1.00 ,0.14,0.91,0.43
5546,永固-KY,7.00 ,3.00 ,2.00 ,0.29,0.94,1
5607,遠雄港,7.00 ,3.00 ,0.00 ,0,0.86,1
5608,四維航,6.00 ,3.00 ,1.00 ,0.17,1,1
5706,鳳凰,9.00 ,3.00 ,1.00 ,0.11,1,1
5871,中租-KY,9.00 ,3.00 ,1.00 ,0.11,0.99,1
5876,上海商銀,9.00 ,3.00 ,0.00 ,0,1,1
5880,合庫金,15.00 ,4.00 ,3.00 ,0.2,0.95,1
5906,台南-KY,7.00 ,3.00 ,1.00 ,0.14,0.98,1
5907,大洋-KY,7.00 ,3.00 ,2.00 ,0.29,0.92,1
6005,群益證,11.00 ,3.00 ,1.00 ,0.09,0.91,1
6024,群益期,7.00 ,3.00 ,2.00 ,0.29,0.98,1
6108,競國,6.00 ,3.00 ,4.00 ,0.67,1,1
6112,邁達特,7.00 ,3.00 ,2.00 ,0.29,1,1
6115,鎰勝,9.00 ,3.00 ,2.00 ,0.22,0.96,1
6116,彩晶,7.00 ,3.00 ,4.00 ,0.57,1,1
6117,迎廣,7.00 ,3.00 ,3.00 ,0.43,1,1
6120,達運,7.00 ,3.00 ,1.00 ,0.14,1,1
6128,上福,9.00 ,3.00 ,2.00 ,0.22,0.91,1
6133,金橋,7.00 ,3.00 ,1.00 ,0.14,0.93,0.29
6136,富爾特,7.00 ,3.00 ,1.00 ,0.14,1,1
6139,亞翔,8.00 ,3.00 ,1.00 ,0.13,0.85,0.25
6141,柏承,7.00 ,3.00 ,0.00 ,0,1,1
6142,友勁,7.00 ,3.00 ,0.00 ,0,0.98,1
6152,百一,7.00 ,3.00 ,0.00 ,0,1,1
6153,嘉聯益,9.00 ,3.00 ,1.00 ,0.11,0.95,1
6155,鈞寶,11.00 ,3.00 ,1.00 ,0.09,0.95,1
6164,華興,11.00 ,4.00 ,1.00 ,0.09,0.94,1
6165,浪凡,7.00 ,3.00 ,4.00 ,0.57,0.9,0.12
6166,凌華,9.00 ,4.00 ,2.00 ,0.22,0.93,1
6168,宏齊,7.00 ,3.00 ,0.00 ,0,0.98,1
6176,瑞儀,10.00 ,4.00 ,1.00 ,0.1,0.99,1
6177,達麗,7.00 ,3.00 ,1.00 ,0.14,1,0.86
6183,關貿,15.00 ,3.00 ,2.00 ,0.13,0.99,1
6184,大豐電,9.00 ,3.00 ,1.00 ,0.11,1,0
6189,豐藝,9.00 ,4.00 ,3.00 ,0.33,1,1
6191,精成科,9.00 ,3.00 ,0.00 ,0,0.97,1
6192,巨路,8.00 ,3.00 ,2.00 ,0.25,0.97,0.13
6196,帆宣,9.00 ,3.00 ,2.00 ,0.22,0.99,1
6197,佳必琪,9.00 ,4.00 ,3.00 ,0.33,1,1
6201,亞弘電,7.00 ,3.00 ,1.00 ,0.14,1,1
6202,盛群,9.00 ,3.00 ,1.00 ,0.11,1,1
6205,詮欣,8.00 ,3.00 ,2.00 ,0.25,1,1
6206,飛捷,7.00 ,3.00 ,1.00 ,0.14,0.9,1
6209,今國光,9.00 ,3.00 ,1.00 ,0.11,0.94,0.44
6213,聯茂,7.00 ,4.00 ,2.00 ,0.29,0.96,1
6214,精誠,12.00 ,3.00 ,2.00 ,0.17,0.98,1
6215,和椿,7.00 ,3.00 ,0.00 ,0,0.96,0.71
6216,居易,9.00 ,3.00 ,1.00 ,0.11,0.76,1
6224,聚鼎,10.00 ,3.00 ,0.00 ,0,0.96,0.33
6225,天瀚,7.00 ,3.00 ,4.00 ,0.57,0.85,0
6226,光鼎,9.00 ,3.00 ,1.00 ,0.11,0.96,0
6230,尼得科超眾,12.00 ,4.00 ,0.00 ,0,1,1
6235,華孚,9.00 ,3.00 ,1.00 ,0.11,0.98,1
6239,力成,11.00 ,4.00 ,1.00 ,0.09,0.98,0.55
6243,迅杰,7.00 ,3.00 ,0.00 ,0,0.95,1
6257,矽格,9.00 ,3.00 ,0.00 ,0,0.96,1
6269,台郡,11.00 ,4.00 ,2.00 ,0.18,0.99,0.73
6271,同欣電,9.00 ,3.00 ,3.00 ,0.33,0.93,0.78
6277,宏正,10.00 ,3.00 ,1.00 ,0.1,0.98,1
6278,台表科,10.00 ,3.00 ,4.00 ,0.4,0.97,0.5
6281,全國電,9.00 ,4.00 ,0.00 ,0,0.98,1
6282,康舒,10.00 ,3.00 ,0.00 ,0,0.99,1
6283,淳安,9.00 ,3.00 ,4.00 ,0.44,0.97,1
6285,啟碁,9.00 ,4.00 ,1.00 ,0.11,0.98,1
6288,聯嘉,9.00 ,4.00 ,2.00 ,0.22,1,1
6405,悅城,7.00 ,3.00 ,1.00 ,0.14,1,1
6409,旭隼,8.00 ,4.00 ,3.00 ,0.38,0.86,1
6412,群電,7.00 ,3.00 ,2.00 ,0.29,1,1
6414,樺漢,6.00 ,3.00 ,4.00 ,0.67,1,1
6415,矽力*-KY,7.00 ,3.00 ,1.00 ,0.14,1,1
6416,瑞祺電通,7.00 ,3.00 ,1.00 ,0.14,1,1
6426,統新,7.00 ,3.00 ,1.00 ,0.14,0.97,1
6431,光麗-KY,10.00 ,3.00 ,1.00 ,0.1,1,1
6438,迅得,9.00 ,3.00 ,1.00 ,0.11,1,1
6442,光聖,7.00 ,3.00 ,2.00 ,0.29,1,1
6443,元晶,8.00 ,3.00 ,2.00 ,0.25,0.98,1
6446,藥華藥,11.00 ,3.00 ,2.00 ,0.18,0.97,1
6449,鈺邦,7.00 ,3.00 ,0.00 ,0,1,0.57
6451,訊芯-KY,7.00 ,3.00 ,0.00 ,0,0.94,1
6456,GIS-KY,7.00 ,3.00 ,0.00 ,0,0.98,1
6464,台數科,15.00 ,3.00 ,4.00 ,0.27,0.77,1
6472,保瑞,7.00 ,3.00 ,0.00 ,0,0.95,1
6477,安集,8.00 ,3.00 ,1.00 ,0.13,0.92,0.88
6491,晶碩,9.00 ,3.00 ,1.00 ,0.11,0.93,1
6504,南六,9.00 ,3.00 ,1.00 ,0.11,1,1
6505,台塑化,15.00 ,3.00 ,1.00 ,0.07,0.94,1
6515,穎崴,9.00 ,4.00 ,0.00 ,0,1,1
6525,捷敏-KY,9.00 ,4.00 ,3.00 ,0.33,0.98,1
6531,愛普*,7.00 ,4.00 ,2.00 ,0.29,1,1
6533,晶心科,7.00 ,3.00 ,0.00 ,0,0.91,1
6541,泰福-KY,9.00 ,3.00 ,1.00 ,0.11,0.87,1
6550,北極星藥業-KY,7.00 ,3.00 ,0.00 ,0,0.88,1
6552,易華電,7.00 ,3.00 ,0.00 ,0,0.97,1
6558,興能高,9.00 ,3.00 ,3.00 ,0.33,1,1
6573,虹揚-KY,9.00 ,4.00 ,4.00 ,0.44,0.97,1
6579,研揚,11.00 ,3.00 ,1.00 ,0.09,1,0.98
6581,鋼聯,11.00 ,4.00 ,1.00 ,0.09,0.95,1
6582,申豐,7.00 ,3.00 ,1.00 ,0.14,1,1
6585,鼎基,8.00 ,4.00 ,0.00 ,0,0.99,1
6591,動力-KY,7.00 ,4.00 ,1.00 ,0.14,1,1
6592,和潤企業,8.00 ,2.00 ,0.00 ,0,0.9,1
6598,ABC-KY,7.00 ,3.00 ,1.00 ,0.14,0.92,1
6605,帝寶,10.00 ,4.00 ,3.00 ,0.3,1,0.8
6606,建德工業,11.00 ,3.00 ,1.00 ,0.09,1,1
6625,必應,7.00 ,3.00 ,0.00 ,0,0.88,1
6641,基士德-KY,7.00 ,3.00 ,1.00 ,0.14,1,1
6655,科定,7.00 ,3.00 ,1.00 ,0.14,1,1
6657,華安,6.00 ,3.00 ,0.00 ,0,0.98,1
6666,羅麗芬-KY,8.00 ,4.00 ,3.00 ,0.38,1,1
6668,中揚光,7.00 ,3.00 ,0.00 ,0,0.99,1
6669,緯穎,9.00 ,4.00 ,2.00 ,0.22,1,1
6670,復盛應用,8.00 ,3.00 ,0.00 ,0,0.96,1
6671,三能-KY,9.00 ,3.00 ,1.00 ,0.11,0.98,1
6672,騰輝電子-KY,7.00 ,3.00 ,0.00 ,0,0.95,1
6674,鋐寶科技,7.00 ,3.00 ,1.00 ,0.14,0.89,0.43
6689,伊雲谷,7.00 ,3.00 ,2.00 ,0.29,1,1
6691,洋基工程,7.00 ,3.00 ,0.00 ,0,0.96,1
6695,芯鼎,9.00 ,3.00 ,1.00 ,0.11,0.94,0.78
6698,旭暉應材,9.00 ,4.00 ,4.00 ,0.44,0.96,1
6706,惠特,9.00 ,3.00 ,1.00 ,0.11,0.99,1
6715,嘉基,7.00 ,3.00 ,1.00 ,0.14,0.96,1
6719,力智,9.00 ,3.00 ,0.00 ,0,0.94,1
6743,安普新,10.00 ,4.00 ,1.00 ,0.1,0.9,0.9
6753,龍德造船,9.00 ,3.00 ,1.00 ,0.11,0.96,0.33
6754,匯僑設計,8.00 ,4.00 ,2.00 ,0.25,0.98,1
6756,威鋒電子,7.00 ,3.00 ,1.00 ,0.14,1,1
