代號,free_speech,staff_train,occupation_health,consumer_neg,consumer_pos,supplier_esg,risk_management ,nocorrupt
4720,0,1,1,0,0,0,0,0
4722,1,1,1,0,0,0,0,0
4736,1,1,1,1,0,1,0,0
4737,1,1,1,0,0,0,0,0
4739,1,1,0,0,0,0,0,0
4746,1,1,1,0,0,0,0,0
4755,1,1,1,0,0,0,0,0
4764,1,1,0,0,0,0,0,0
4766,0,1,1,0,0,0,0,0
4770,1,1,1,0,0,0,0,0
4807,1,1,0,0,0,0,0,0
4904,0,1,0,0,0,0,0,0
4906,0,1,1,0,0,0,0,0
4912,1,1,1,0,0,0,0,0
4915,1,1,1,0,0,1,0,0
4916,1,1,1,0,0,0,0,0
4919,1,1,0,0,0,0,0,0
4927,0,1,0,0,0,0,0,0
4930,0,1,0,0,0,0,0,0
4934,1,1,1,0,0,0,0,0
4935,1,0,0,1,0,1,0,0
4938,1,1,1,1,0,1,1,0
4942,1,1,0,0,0,0,0,0
4952,0,1,1,0,0,0,0,0
4956,0,1,0,0,0,0,0,0
4960,0,1,1,0,0,0,0,0
4961,0,1,0,0,0,0,0,0
4967,1,1,0,0,0,0,0,0
4968,1,1,0,0,0,0,0,0
4976,0,1,1,0,0,0,0,0
4989,1,1,1,0,0,0,0,0
4994,0,1,1,0,0,0,0,0
4999,0,1,0,0,0,0,0,0
5007,1,1,0,0,0,0,0,0
5203,0,1,0,0,0,0,0,0
5215,0,1,1,0,0,0,0,0
5222,0,1,1,0,0,1,0,0
5225,0,1,0,0,0,0,0,0
5234,0,1,0,0,0,0,0,0
5243,1,1,1,0,0,1,0,0
5244,1,1,0,0,0,0,0,0
5258,1,1,1,1,0,1,1,0
5269,1,1,0,0,0,0,0,0
5283,1,1,0,0,0,0,0,1
5284,0,1,1,0,0,0,0,0
5285,0,1,1,0,0,1,0,0
5306,1,1,1,0,0,1,0,0
5388,1,1,1,0,0,1,0,0
5434,1,1,1,0,0,0,0,0
5469,1,1,1,0,0,0,0,1
5471,1,1,1,0,0,0,0,0
5484,0,1,1,0,0,0,0,0
5515,1,1,0,0,0,0,0,0
5519,1,1,1,0,0,0,0,0
5521,1,1,0,0,0,0,0,0
5522,0,1,1,1,0,1,0,0
5525,1,1,1,0,0,1,0,0
5531,1,1,1,0,0,1,0,0
5533,0,1,1,0,0,0,0,0
5534,0,1,1,0,0,0,0,0
5538,0,1,0,0,0,1,0,0
5607,1,1,1,1,0,1,0,0
5608,1,1,1,0,0,1,0,1
