代號,free_speech,staff_train,occupation_health,consumer_neg,consumer_pos,supplier_esg,social,risk_management,nocorrupt,conservation
2337,0,1,1,0,0,0,1,0,0,0
2338,1,1,1,1,0,1,1,1,0,0
2340,1,1,0,0,0,0,1,0,0,0
2342,0,1,0,0,0,0,1,1,0,0
2344,0,1,0,0,0,1,1,0,0,0
2345,0,1,1,0,0,1,1,1,0,0
2347,1,1,1,0,0,0,0,0,0,0
2348,1,1,0,0,0,1,0,0,0,0
2349,1,1,0,0,0,0,0,0,0,0
2351,1,1,1,1,0,1,0,1,0,1
2352,1,1,1,0,0,1,0,0,0,1
2354,0,1,1,0,0,1,0,0,0,0
2355,0,1,0,0,0,0,0,0,0,0
2356,0,1,0,0,0,0,0,0,0,0
2357,1,1,0,0,0,0,0,0,0,0
2358,0,1,0,0,0,0,1,0,0,0
2359,0,1,0,0,0,0,0,0,0,0
2360,0,1,0,0,0,0,0,1,0,0
2362,1,1,0,0,0,0,0,0,0,0
2363,1,1,1,0,0,1,0,0,0,0
2364,0,1,0,0,0,1,0,0,0,0
2365,1,1,1,0,0,0,0,0,0,0
2367,1,1,1,0,0,1,0,0,0,0
2368,0,1,0,0,0,1,0,1,0,0
2369,0,1,0,0,0,0,0,0,0,0
2371,0,1,0,0,0,0,0,0,0,0
2373,0,1,1,0,0,0,0,1,0,0
2374,1,1,0,0,0,1,0,0,0,0
2375,0,1,0,0,0,0,0,0,0,0
2376,0,1,1,0,0,1,1,0,0,0
2377,0,1,0,0,0,0,0,0,0,0
2379,0,1,0,0,0,0,0,0,0,0
2380,1,1,0,0,0,0,0,0,0,0
2382,0,1,0,0,0,0,0,0,0,0
2383,0,1,0,1,0,0,0,0,0,1
2385,0,1,0,0,0,0,0,0,0,0
2387,0,1,0,0,0,0,0,0,0,0
2388,1,1,0,0,0,0,0,0,0,0
2390,1,1,0,0,0,0,0,0,0,0
2392,1,1,1,0,0,1,0,0,0,0
2393,0,1,0,0,0,0,0,0,0,0
2395,0,1,0,0,0,0,0,0,0,0
2397,0,1,1,0,0,0,1,0,0,0
2399,0,1,1,0,0,0,0,0,0,0
2401,0,1,1,0,0,1,0,0,0,0
2402,1,1,0,0,0,0,1,0,0,0
2404,0,1,0,0,0,1,0,0,1,0
2405,1,1,0,0,0,0,1,0,0,0
2406,1,1,1,0,0,1,1,0,0,0
2408,1,1,0,0,0,0,1,0,0,0
2409,0,1,0,0,0,0,0,0,0,0
2412,1,1,0,0,0,0,0,0,0,0
2413,0,1,0,0,0,0,0,0,0,0
2414,1,1,0,0,0,0,0,0,0,0
2415,0,1,0,0,0,0,0,0,0,0
2417,1,1,0,0,0,0,1,0,0,0
2419,1,1,0,0,0,0,0,0,0,0
2420,1,1,1,0,0,1,0,0,0,0
2421,0,1,0,0,0,0,0,0,0,0
2423,0,1,0,0,0,0,0,0,0,0
2424,0,1,0,0,0,0,0,0,0,0
2425,0,1,0,0,0,0,0,0,0,0
2426,1,1,0,0,0,1,0,0,0,0
2427,0,1,0,0,0,1,0,0,0,0
2428,0,1,0,0,0,0,0,0,0,0
2429,0,1,1,0,0,0,0,0,0,0
2430,1,1,0,0,0,0,0,1,0,0
2431,1,1,1,0,0,0,1,0,0,0
2433,0,1,0,0,0,1,1,1,0,0
2434,1,1,0,0,0,0,0,0,0,0
2436,1,1,1,0,0,1,0,0,0,0
2438,1,1,0,0,0,0,0,0,0,0
2439,1,1,1,0,0,1,0,0,0,0
2440,1,1,0,0,0,1,0,1,0,0
2441,1,1,0,0,0,0,1,0,0,0
2442,0,1,0,0,0,0,0,0,0,0
2443,1,1,1,0,0,1,0,0,0,0
2444,1,1,1,0,0,0,1,0,0,0
2449,0,1,0,0,0,0,0,0,0,0
2450,1,1,0,1,0,1,1,0,0,0
2451,0,1,0,0,0,0,0,0,0,0
2453,0,1,0,0,0,0,0,0,0,0
2454,1,1,0,0,0,0,0,0,0,0
2455,0,1,0,1,0,1,0,0,0,0
2457,1,1,0,0,0,0,1,1,0,0
2458,1,1,0,0,0,0,1,0,0,0
2459,0,1,0,0,0,0,0,0,0,0
2460,1,1,0,1,0,1,0,0,1,1
2461,0,1,1,1,0,1,0,0,0,0
2462,0,1,0,0,0,1,1,0,0,0
2464,0,1,0,0,0,1,0,0,0,0
2465,1,1,1,0,1,1,0,1,0,0
2466,0,1,0,0,0,0,1,0,0,0
2467,1,1,1,0,0,0,0,0,0,1
2471,0,1,0,0,0,0,0,0,0,0
2472,1,1,1,1,0,1,1,0,0,0
2474,0,1,1,0,0,0,0,0,0,0
2476,1,1,0,0,0,0,0,0,0,0
2477,1,1,0,0,0,0,0,0,0,0
2478,1,1,0,0,0,0,0,0,0,0
2480,0,1,0,0,0,1,1,1,0,0
2481,1,1,0,0,0,0,0,0,0,0
2482,1,1,1,0,0,1,0,0,0,0
2483,0,1,0,0,0,0,0,0,0,0
2484,1,1,0,0,0,0,0,1,0,0
2485,1,1,0,0,0,0,0,0,0,0
2486,1,1,1,0,0,1,1,1,0,0
2488,1,1,0,0,0,0,0,0,0,0
2489,0,1,0,0,0,0,1,0,0,0
2491,1,1,0,0,0,0,0,0,0,0
2492,0,1,0,0,0,0,1,0,0,0
2493,1,1,0,0,0,1,0,0,0,0
2495,0,1,0,0,0,1,0,0,0,0
